,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
1212,UFPT,UFP Technologies Inc,1.18,73.86,74.3,71.58,72.42,0.86,0.25,0.76,35.16,19129,1392010.0,73.0,558492021,558492021,105.UFPT,美股
1213,TUEM,Tuesday Morning Corp,1.18,0.86,0.89,0.86,0.86,0.01,0.02,0.33,-1.07,18405,15923.0,0.85,73737972,73737972,105.TUEM,美股
1214,IVR,景顺抵押资本,1.18,1.72,1.74,1.68,1.71,0.02,1.24,0.75,-6.31,4088217,6986494.0,1.7,567458834,567458834,106.IVR,美股
1215,DMAC,DiaMedica Therapeutics Inc,1.18,2.58,2.62,2.32,2.45,0.03,0.35,1.58,-5.02,91453,225638.0,2.55,68223113,68223113,105.DMAC,美股
1217,DOC,Physicians Realty Trust,1.17,18.14,18.2,17.79,17.85,0.21,1.62,0.93,48.67,3643404,65748049.0,17.93,4086871054,4086871054,106.DOC,美股
1218,KNTK,Kinetik Holdings Inc-A,1.17,72.59,72.8,70.5,72.11,0.84,0.12,0.76,48.47,76737,5536365.0,71.75,4808830531,4808830531,105.KNTK,美股
1221,CTIB,运鸿CTI,1.16,0.87,0.92,0.84,0.87,0.01,0.34,0.33,-0.62,20018,17246.0,0.86,5143223,5143223,105.CTIB,美股
1223,CIVB,Civista Bancshares Inc,1.16,20.95,20.96,20.43,20.55,0.24,0.38,0.77,7.61,55978,1162954.0,20.71,308471760,308471760,105.CIVB,美股
1225,DUK,杜克能源,1.15,111.32,111.97,109.33,109.79,1.27,0.35,0.83,21.93,2723528,302246768.0,110.05,85705208666,85705208666,106.DUK,美股
1226,RDBX,Redbox Entertainment Inc-A,1.15,6.14,6.75,5.49,5.83,0.07,28.58,0.17,-2.47,12972707,81733129.0,6.07,278685488,278685488,105.RDBX,美股
1227,CTEK,CynergisTek Inc,1.15,0.88,0.92,0.87,0.92,0.01,0.28,0.7,-5.19,36878,32559.0,0.87,11665782,11665782,107.CTEK,美股
1231,LFUS,美国力特保险丝,1.14,257.07,258.95,246.69,252.76,2.9,0.56,0.97,18.51,139047,35517657.0,254.17,6359583007,6359583007,105.LFUS,美股
1232,MKC,味好美,1.14,97.54,98.2,95.75,96.0,1.1,0.38,0.65,33.04,945051,91913044.0,96.44,26148180835,24406997416,106.MKC,美股
1233,MMD,MainStay MacKay DefinedTerm Mun,1.14,17.75,17.92,17.55,17.68,0.2,0.23,0.49,-,62448,1108521.0,17.55,489093511,489093511,106.MMD,美股
1235,NMFC,New Mountain Finance Corp,1.14,13.35,13.39,13.19,13.28,0.15,0.3,0.68,6.52,290166,3857627.0,13.2,1312985516,1312985516,105.NMFC,美股
1236,UG,United-Guardian Inc,1.13,19.63,19.84,19.12,19.24,0.22,0.22,0.62,19.36,10176,198005.0,19.41,90186482,90186482,105.UG,美股
1237,ZEAL,Zealand Pharma A/S ADR,1.13,11.62,12.43,11.5,11.5,0.13,0.01,0.6,-3.28,3460,40764.0,11.49,507028730,507028730,105.ZEAL,美股
1238,VLNS,The Valens Co Inc,1.12,0.9,0.91,0.83,0.89,0.01,0.12,1.06,-1.87,98065,85034.0,0.89,72105592,72105592,105.VLNS,美股
1239,USWS,U.S. Well Services Inc-A,1.12,0.9,0.93,0.85,0.91,0.01,0.85,0.74,-0.98,657765,578944.0,0.89,69359951,69359951,105.USWS,美股
1241,PTRS,Partners Bancorp,1.12,9.03,9.03,8.93,8.93,0.1,0.01,0.4,21.89,947,8526.0,8.93,162194142,162194142,105.PTRS,美股
1242,RE,艾弗再保险,1.12,287.32,288.9,283.41,284.89,3.18,0.69,1.15,8.49,270275,77638431.0,284.14,11331315529,11331315529,106.RE,美股
1244,IBP,Installed Building Products Inc,1.12,87.74,88.52,84.96,85.75,0.97,0.85,0.89,21.64,248008,21634294.0,86.77,2570391996,2570391996,106.IBP,美股
1246,CIH,中指控股,1.11,0.91,0.95,0.9,0.9,0.01,0.05,5.84,1.86,45863,42012.0,0.9,81658400,81658400,105.CIH,美股
1247,AKU,Akumin Inc,1.11,0.91,0.92,0.89,0.9,0.01,0.03,0.7,-1.88,25356,22847.0,0.9,81460027,81460027,105.AKU,美股
1248,MO,奥驰亚集团,1.11,56.57,56.75,55.59,55.69,0.62,0.64,1.21,34.03,11512294,647504400.0,55.95,102423224820,102423224820,106.MO,美股
1250,APTX,Aptinyx Inc,1.1,0.92,0.94,0.88,0.88,0.01,0.18,0.8,-0.83,118633,108235.0,0.91,62298461,62298461,105.APTX,美股
1253,FSV,FirstService Corp,1.09,121.9,122.83,118.55,119.02,1.32,0.23,1.57,42.28,103291,12538856.0,120.58,5387069529,5387069529,105.FSV,美股
1255,NR,新园能源,1.09,3.7,3.79,3.58,3.72,0.04,0.65,1.15,-13.39,598474,2218443.0,3.66,341706485,341706485,106.NR,美股
1256,BOKF,博克金融,1.09,86.99,87.17,84.92,86.29,0.94,0.33,1.36,9.58,222651,19215509.0,86.05,5924370701,5924370701,105.BOKF,美股
